nameOrig,step,type,amount,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
C1053632127,1,PAYMENT,1267.97,6309146.87,6307878.9,M1493158871,0,0
C89509666,1,PAYMENT,6911.99,6307878.9,6300966.92,M1806880779,0,0
C1016856028,1,PAYMENT,1795.67,6300966.92,6299171.25,M446445803,0,0
C832292933,1,PAYMENT,3199.06,6299171.25,6295972.18,M1280603381,0,0
C792855998,1,PAYMENT,10265.17,6295972.18,6285707.02,M1424108509,0,0
C1003755748,1,PAYMENT,9029.12,25480,16450.88,M1414013111,0,0
C1805164661,1,PAYMENT,7600.57,50747,43146.43,M778162712,0,0
C896138248,1,PAYMENT,2057.71,25132,23074.29,M548482954,0,0
C243575009,1,PAYMENT,3823.08,10382,6558.92,M777341499,0,0
C1420196421,1,TRANSFER,2806,2806,0,C972765878,0,0
C2101527076,1,CASH_OUT,2806,2806,0,C1007251739,26202,0
C1454026445,1,PAYMENT,6737.2,624,0,M1378497201,0,0
C892931811,1,PAYMENT,9161.98,11128,1966.02,M1577167234,0,0
C1574873161,1,PAYMENT,1239.06,396386,395146.94,M1591916281,0,0
C600958416,1,PAYMENT,365,319,0,M1884231057,0,0
C1492875057,1,PAYMENT,5237.54,27105,21867.46,M333793193,0,0
C1068945248,1,PAYMENT,2618.76,21867.46,19248.7,M937277082,0,0
C882646447,1,PAYMENT,339.82,12076,11736.18,M234740890,0,0
C79290250,1,DEBIT,1393.46,100068,98674.54,C1076835071,26446,318637.36
C1586151649,1,PAYMENT,2731.37,17540,14808.63,M179294202,0,0
C1767230265,1,PAYMENT,8364.73,81,0,M593103894,0,0
C727666004,1,PAYMENT,6598.71,16392,9793.29,M1601935322,0,0
C414225167,1,PAYMENT,4304.58,10708,6403.42,M1803093683,0,0
C975033189,1,PAYMENT,2867.14,943,0,M962287291,0,0
C628064884,1,PAYMENT,2946.38,0,0,M109069556,0,0
C1389509050,1,PAYMENT,507.12,87005,86497.88,M828326869,0,0
C1761217448,1,PAYMENT,3020.86,50361,47340.14,M1817789863,0,0
C788905599,1,PAYMENT,8948.03,11137,2188.97,M1678709153,0,0
C1544614339,1,CASH_OUT,280877.92,2188.97,0,C1297685781,462914.23,16997.22
C2059592603,1,PAYMENT,1084.9,13727,12642.1,M2016828666,0,0
C1688782916,1,PAYMENT,9456.69,12642.1,3185.41,M1064154107,0,0
C1390301622,1,PAYMENT,5812.36,3185.41,0,M415565467,0,0
C973936431,1,TRANSFER,157883.07,46547,0,C1335050193,72793,353532.56
C1756207614,1,PAYMENT,2734.77,4511,1776.23,M1214133948,0,0
C2015301874,1,CASH_OUT,102153.86,1776.23,0,C1335050193,230676.07,353532.56
C712627377,1,PAYMENT,584.52,15479,14894.48,M782228073,0,0
C399373008,1,PAYMENT,6113.14,15629,9515.86,M391506011,0,0
C1936550492,1,CASH_OUT,369989.2,9515.86,0,C1789550256,518243.06,4619798.56
C594651850,1,CASH_OUT,215338.28,0,0,C75457651,285755.61,31469.78
C1532139270,1,CASH_OUT,65521.42,0,0,C920011586,93337.06,0
C1677568775,1,CASH_OUT,116977.58,0,0,C1740000325,191043.06,1363368.51
C2069500590,1,CASH_OUT,262392.36,0,0,C2083562754,457286.01,1186556.81
C1431556341,1,CASH_OUT,51121.05,0,0,C1740000325,308020.64,1363368.51
C452364286,1,CASH_OUT,202624.59,0,0,C985934102,1056495.21,971418.91
C350069300,1,CASH_OUT,118235.16,0,0,C1335050193,332829.93,353532.56
C1060703587,1,CASH_OUT,118056.71,0,0,C757108857,272906.49,0
C1957078537,1,CASH_OUT,498960.91,0,0,C1360767589,608612.15,2107965.39
C1514214932,1,CASH_OUT,691738.36,0,0,C1590550415,6285707.02,1.92E+07
C594858858,1,CASH_OUT,58820.08,0,0,C1360767589,1107573.06,2107965.39
C1423016050,1,PAYMENT,4419.04,52951,48531.96,M352776719,0,0
C1202042637,1,PAYMENT,4270.02,9516,5245.98,M1112527632,0,0
C440736059,1,PAYMENT,3007.83,49905,46897.17,M955324150,0,0
C1384563514,1,PAYMENT,1824.59,25138,23313.41,M1852661033,0,0
C1548946718,1,PAYMENT,993.46,19448,18454.54,M1814423236,0,0
C140404585,1,CASH_OUT,302693.14,18454.54,0,C1688019098,306239.03,97263.78
C207546206,1,PAYMENT,1445.06,10892,9446.94,M1218519094,0,0
C200404000,1,PAYMENT,4059.25,4186,126.75,M1894758168,0,0
C191945292,1,PAYMENT,3417.18,126.75,0,M1242688388,0,0
C1317375498,1,DEBIT,3428.95,147798,144369.05,C665576141,1534657.01,5515763.34
C1130346421,1,PAYMENT,5580.98,7781,2200.02,M1316005672,0,0
C192428201,1,DEBIT,3455.85,3509,53.15,C401424608,1333014.31,1178808.14
C1768882706,1,PAYMENT,7265.63,14508,7242.37,M1463022229,0,0
C472991420,1,PAYMENT,3852.64,1449076.27,1445223.63,M1455855843,0,0
C1202220987,1,PAYMENT,7870.29,1445223.63,1437353.34,M256346753,0,0
C425015667,1,DEBIT,12872.92,11197,0,C466505482,51885,0
C2075568954,1,PAYMENT,6675.34,10107,3431.66,M2145896000,0,0
C1279740095,1,CASH_OUT,410201.89,21448,0,C1750905143,61613,424250.45
C2095677157,1,PAYMENT,13310.78,0,0,M852026681,0,0
C1943855334,1,PAYMENT,664.35,102983,102318.65,M94919826,0,0
C847320212,1,PAYMENT,2130.3,10958,8827.7,M1201004240,0,0
C1406848276,1,PAYMENT,7771.4,8827.7,1056.3,M349259569,0,0
C785306763,1,PAYMENT,36349.35,1056.3,0,M1204088028,0,0
C1123236701,1,PAYMENT,749.34,0,0,M1552221437,0,0
C79161706,1,PAYMENT,2340.34,0,0,M1685407532,0,0
C1057468716,1,PAYMENT,9686.85,0,0,M1272051933,0,0
C1888924788,1,PAYMENT,15785.85,0,0,M1041547629,0,0
C1016633682,1,PAYMENT,9006.78,0,0,M2018220300,0,0
C1027319653,1,PAYMENT,9014.95,0,0,M633079302,0,0
C1561745898,1,PAYMENT,14420.66,0,0,M2033268925,0,0
C424786033,1,PAYMENT,4802.31,0,0,M1545077099,0,0
C867093003,1,PAYMENT,28527.44,0,0,M1135278099,0,0
C1470911015,1,PAYMENT,4182.93,0,0,M1268974304,0,0
C244872973,1,PAYMENT,4088.21,0,0,M451312813,0,0
C795748540,1,PAYMENT,8491.9,0,0,M2081000371,0,0
C837073696,1,DEBIT,6666.78,11876,5209.22,C655381473,24777,189534.74
C416201381,1,PAYMENT,6536.86,17319,10782.14,M1178290888,0,0
C1985938863,1,CASH_OUT,40684.97,10782.14,0,C1291286504,49530,66575.5
C1660325375,1,PAYMENT,1553.21,31516,29962.79,M251664534,0,0
C334593716,1,DEBIT,7344.92,0,0,C485041780,185432,0
C487416600,1,CASH_OUT,106267.21,0,0,C476800120,241106.05,49864.36
C1271041075,1,PAYMENT,5491.5,36605,31113.5,M1141500277,0,0
C1544895390,1,PAYMENT,3666.42,48117,44450.58,M712410791,0,0
C1971991758,1,PAYMENT,5507.18,36030,30522.82,M2126723403,0,0
C201274566,1,DEBIT,4565.14,30265,25699.86,C747464370,829892.09,1567434.81
C354605216,1,PAYMENT,11348.71,734899,723550.29,M824881806,0,0
C1447353473,1,TRANSFER,123179.97,7215,0,C20671747,12904.68,43691.09
C611289995,1,PAYMENT,7073.6,0,0,M663466110,0,0
C1129433283,1,PAYMENT,2803.83,0,0,M864138492,0,0
C1810518740,1,PAYMENT,106.81,0,0,M295180183,0,0
C1547883191,1,PAYMENT,6297.71,762,0,M1650113431,0,0
C1528769018,1,PAYMENT,2610.01,58697.54,56087.54,M183155105,0,0
C1089930529,1,PAYMENT,5320.1,56087.54,50767.43,M2001115307,0,0
C1429483328,1,PAYMENT,1460.63,1132,0,M172794870,0,0
C1927963027,1,TRANSFER,522264.81,24,0,C1234776885,11361,2025098.66
C833240229,1,DEBIT,3584.21,135496,131911.79,C1330106945,100614.05,24044.18
C1167088639,1,PAYMENT,3704.97,24553,20848.03,M707531688,0,0
C191568263,1,PAYMENT,2773.61,14332,11558.39,M1799635803,0,0
C751608431,1,PAYMENT,3896.42,11558.39,7661.97,M1723290893,0,0
C893640573,1,PAYMENT,18781.84,7661.97,0,M2085886997,0,0
C893523498,1,PAYMENT,6660.33,17710,11049.67,M1770070706,0,0
C1108517064,1,TRANSFER,26923.42,11049.67,0,C1983747920,199404.91,95508.95
C511354923,1,TRANSFER,53783.57,0,0,C1899073220,75514,420946.86
C992743048,1,TRANSFER,80333.28,0,0,C1749186397,321592.98,277515.05
C1540894701,1,TRANSFER,211075.91,0,0,C564160838,930082.81,1254956.07
C203149502,1,TRANSFER,100677.86,0,0,C1531333864,701567.56,55974.56
C1198197478,1,TRANSFER,473499.51,0,0,C453211571,883248.39,3461666.05
C476579021,1,TRANSFER,1538200.39,0,0,C1590550415,6977445.38,1.92E+07
C106297322,1,TRANSFER,2421578.09,0,0,C1590550415,8515645.77,1.92E+07
C1419332030,1,TRANSFER,1349670.68,0,0,C665576141,1538085.96,5515763.34
C1262110193,1,TRANSFER,314403.14,0,0,C1789550256,888232.25,4619798.56
C396918327,1,TRANSFER,1457213.54,0,0,C1590550415,1.09E+07,1.92E+07
C1055601039,1,TRANSFER,180368.84,0,0,C1359044626,1437353.34,16518.36
C547441493,1,TRANSFER,445038.71,0,0,C1531333864,802245.42,55974.56
C967677821,1,TRANSFER,1123206.66,0,0,C451111351,1773963.18,3940085.21
C1839206329,1,DEBIT,996,46132,45136,C998351292,88106.55,1015132.48
